INVERTER_ID,DATE_TIME,AC_POWER,IRRADIANCE,PERFORMANCE_RATIO
101,2025-03-10 00:00:00,0.0,0.0,
202,2025-03-10 00:00:00,0.0,0.0,
303,2025-03-10 00:00:00,0.0,0.0,
101,2025-03-10 01:00:00,0.0,0.0,
202,2025-03-10 01:00:00,0.0,0.0,
303,2025-03-10 01:00:00,0.0,0.0,
101,2025-03-10 02:00:00,0.0,0.0,
202,2025-03-10 02:00:00,0.0,0.0,
303,2025-03-10 02:00:00,0.0,0.0,
101,2025-03-10 03:00:00,0.0,0.0,
202,2025-03-10 03:00:00,0.0,0.0,
303,2025-03-10 03:00:00,0.0,0.0,
101,2025-03-10 04:00:00,0.0,0.0,
202,2025-03-10 04:00:00,0.0,0.0,
303,2025-03-10 04:00:00,0.0,0.0,
101,2025-03-10 05:00:00,0.0,0.0,
202,2025-03-10 05:00:00,0.0,0.0,
303,2025-03-10 05:00:00,0.0,0.0,
101,2025-03-10 06:00:00,0.0,0.0,
202,2025-03-10 06:00:00,0.0,0.0,
303,2025-03-10 06:00:00,0.0,0.0,
101,2025-03-10 07:00:00,3.25273492154624,43.8,0.9737533037876386
202,2025-03-10 07:00:00,3.25273492154624,43.8,0.9737533037876386
303,2025-03-10 07:00:00,3.25273492154624,43.8,0.9737533037876386
101,2025-03-10 08:00:00,17.613454704675522,240.9,0.9586986796407028
202,2025-03-10 08:00:00,17.613454704675522,240.9,0.9586986796407028
303,2025-03-10 08:00:00,17.613454704675522,240.9,0.9586986796407028
101,2025-03-10 09:00:00,35.92115174523243,500.7,0.9406911192748136
202,2025-03-10 09:00:00,35.92115174523243,500.7,0.9406911192748136
303,2025-03-10 09:00:00,35.92115174523243,500.7,0.9406911192748136
101,2025-03-10 10:00:00,49.75643927885361,703.3,0.9276476704933232
202,2025-03-10 10:00:00,49.75643927885361,703.3,0.9276476704933232
303,2025-03-10 10:00:00,49.75643927885361,703.3,0.9276476704933232
101,2025-03-10 11:00:00,59.79115714465716,855.6,0.9163060729177136
202,2025-03-10 11:00:00,59.79115714465716,855.6,0.9163060729177136
303,2025-03-10 11:00:00,59.79115714465716,855.6,0.9163060729177136
101,2025-03-10 12:00:00,60.0,901.4,0.8727866183935048
202,2025-03-10 12:00:00,60.0,901.4,0.8727866183935048
303,2025-03-10 12:00:00,60.0,901.4,0.8727866183935048
101,2025-03-10 13:00:00,60.0,889.3,0.8846619339029634
202,2025-03-10 13:00:00,60.0,889.3,0.8846619339029634
303,2025-03-10 13:00:00,60.0,889.3,0.8846619339029634
101,2025-03-10 14:00:00,54.55612430278009,780.7,0.9162916168381208
202,2025-03-10 14:00:00,54.55612430278009,780.7,0.9162916168381208
303,2025-03-10 14:00:00,54.55612430278009,780.7,0.9162916168381208
101,2025-03-10 15:00:00,48.057702726039565,685.1,0.9197788554665592
202,2025-03-10 15:00:00,48.057702726039565,685.1,0.9197788554665592
303,2025-03-10 15:00:00,48.057702726039565,685.1,0.9197788554665592
101,2025-03-10 16:00:00,31.71544633597812,445.2,0.9340928641284404
202,2025-03-10 16:00:00,31.71544633597812,445.2,0.9340928641284404
303,2025-03-10 16:00:00,31.71544633597812,445.2,0.9340928641284404
101,2025-03-10 17:00:00,16.859396071601797,232.7,0.9499921411216696
202,2025-03-10 17:00:00,16.859396071601797,232.7,0.9499921411216696
303,2025-03-10 17:00:00,16.859396071601797,232.7,0.9499921411216696
101,2025-03-10 18:00:00,4.317909936894813,58.5,0.9678144361061004
202,2025-03-10 18:00:00,4.317909936894813,58.5,0.9678144361061004
303,2025-03-10 18:00:00,4.317909936894813,58.5,0.9678144361061004
101,2025-03-10 19:00:00,0.0,0.0,
202,2025-03-10 19:00:00,0.0,0.0,
303,2025-03-10 19:00:00,0.0,0.0,
101,2025-03-10 20:00:00,0.0,0.0,
202,2025-03-10 20:00:00,0.0,0.0,
303,2025-03-10 20:00:00,0.0,0.0,
101,2025-03-10 21:00:00,0.0,0.0,
202,2025-03-10 21:00:00,0.0,0.0,
303,2025-03-10 21:00:00,0.0,0.0,
101,2025-03-10 22:00:00,0.0,0.0,
202,2025-03-10 22:00:00,0.0,0.0,
303,2025-03-10 22:00:00,0.0,0.0,
101,2025-03-10 23:00:00,0.0,0.0,
202,2025-03-10 23:00:00,0.0,0.0,
303,2025-03-10 23:00:00,0.0,0.0,
101,2025-03-11 00:00:00,0.0,0.0,
202,2025-03-11 00:00:00,0.0,0.0,
303,2025-03-11 00:00:00,0.0,0.0,
101,2025-03-11 01:00:00,0.0,0.0,
202,2025-03-11 01:00:00,0.0,0.0,
303,2025-03-11 01:00:00,0.0,0.0,
101,2025-03-11 02:00:00,0.0,0.0,
202,2025-03-11 02:00:00,0.0,0.0,
